iter	Passed	Remaining
0	138	137951
1	140	69942
2	142	47284
3	144	35970
4	146	29195
5	149	24708
6	151	21506
7	153	19074
8	156	17178
9	158	15646
10	160	14401
11	162	13358
12	164	12483
13	166	11749
14	169	11144
15	171	10568
16	173	10053
17	176	9609
18	178	9200
19	180	8845
20	182	8524
21	185	8228
22	188	7986
23	190	7733
24	192	7501
25	194	7282
26	196	7074
27	198	6884
28	200	6719
29	202	6560
30	205	6417
31	207	6279
32	209	6145
33	211	6021
34	214	5901
35	216	5795
36	218	5686
37	220	5588
38	223	5496
39	225	5401
40	226	5305
41	228	5211
42	230	5121
43	231	5029
44	232	4939
45	233	4852
46	235	4770
47	236	4691
48	237	4615
49	238	4540
50	240	4468
51	241	4404
52	242	4337
53	243	4272
54	244	4208
55	246	4148
56	247	4090
57	248	4031
58	249	3975
59	250	3921
60	251	3869
61	252	3818
62	253	3769
63	254	3722
64	255	3675
65	256	3629
66	257	3584
67	258	3540
68	259	3500
69	260	3465
70	262	3428
71	262	3389
72	264	3352
73	265	3316
74	266	3281
75	267	3246
76	268	3213
77	269	3180
78	269	3147
79	271	3116
80	272	3086
81	273	3056
82	273	3023
83	274	2995
84	275	2967
85	276	2940
86	277	2913
87	279	2893
88	280	2870
89	281	2845
90	282	2822
91	283	2799
92	284	2777
93	285	2754
94	286	2731
95	287	2710
96	288	2689
97	289	2668
98	290	2647
99	291	2627
100	292	2607
101	294	2588
102	295	2569
103	296	2551
104	297	2534
105	298	2518
106	299	2501
107	300	2483
108	301	2466
109	302	2450
110	303	2434
111	304	2418
112	305	2401
113	306	2384
114	307	2369
115	308	2354
116	309	2337
117	310	2323
118	311	2309
119	312	2294
120	313	2280
121	314	2264
122	315	2252
123	317	2241
124	318	2228
125	319	2216
126	320	2202
127	321	2189
128	322	2176
129	323	2164
130	324	2151
131	325	2139
132	326	2127
133	327	2115
134	328	2103
135	329	2092
136	330	2081
137	331	2070
138	332	2059
139	333	2049
140	335	2041
141	335	2030
142	337	2019
143	338	2009
144	339	1999
145	340	1989
146	341	1979
147	342	1969
148	343	1959
149	344	1949
150	345	1940
151	346	1930
152	347	1922
153	348	1913
154	349	1905
155	350	1896
156	351	1887
157	352	1879
158	353	1872
159	355	1864
160	355	1854
161	357	1846
162	358	1838
163	359	1830
164	360	1822
165	361	1815
166	362	1807
167	363	1799
168	364	1791
169	365	1784
170	366	1777
171	367	1769
172	368	1762
173	369	1755
174	370	1748
175	372	1742
176	373	1738
177	375	1732
178	376	1726
179	377	1720
180	378	1714
181	380	1708
182	381	1703
183	382	1697
184	384	1693
185	385	1688
186	387	1683
187	388	1678
188	390	1674
189	392	1671
190	393	1667
191	394	1661
